trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
126,False,"{'a': 0.18, 'e': 0.28470777327319546}",25,17,13.972817107798328,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.18, 'e': 0.2818606955404635}",25,0,24.170606687062552,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
128,False,"{'a': 0.18, 'e': 0.27904208858505886}",20,10,5.297980236389172,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.18, 'e': 0.2762516676992083}",30,7,-77.00036461548538,"{0: 18, 1: 0, 2: 2, 3: 2, 4: 1}",1
130,False,"{'a': 0.18, 'e': 0.2734891510222162}",20,5,-16.357688151867173,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
131,False,"{'a': 0.18, 'e': 0.27075425951199406}",25,3,-22.068626181937358,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
132,False,"{'a': 0.18, 'e': 0.2680467169168741}",20,8,1.8778709181166406,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.18, 'e': 0.26536624974770534}",20,0,-25.43327027860635,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
134,False,"{'a': 0.18, 'e': 0.2627125872502283}",20,13,13.097697290165499,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.18, 'e': 0.26008546137772603}",25,3,21.322206940209313,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.18, 'e': 0.25748460676394874}",25,14,-18.354393068942322,"{0: 8, 1: 2, 2: 0, 3: 1, 4: 0}",1
137,False,"{'a': 0.18, 'e': 0.2549097606963093}",20,0,26.08298626996202,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.18, 'e': 0.2523606630893462}",20,10,17.49192089903419,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.18, 'e': 0.2498370564584527}",30,0,-18.529629610867623,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
140,False,"{'a': 0.18, 'e': 0.24733868589386818}",20,0,-3.7882616030015814,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
141,False,"{'a': 0.18, 'e': 0.24486529903492948}",20,0,-28.71651608996696,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
142,False,"{'a': 0.18, 'e': 0.2424166460445802}",35,17,-28.74462757021007,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
143,False,"{'a': 0.18, 'e': 0.2399924795841344}",20,10,7.3492353184721395,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.18, 'e': 0.23759255478829303}",20,0,4.939399566486786,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
145,False,"{'a': 0.18, 'e': 0.23521662924041012}",30,10,-39.2804227727465,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
146,False,"{'a': 0.18, 'e': 0.232864462948006}",20,5,-14.52092023760747,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
147,False,"{'a': 0.18, 'e': 0.23053581831852593}",25,11,20.036784506532587,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.18, 'e': 0.22823046013534068}",25,14,7.192514643152536,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.18, 'e': 0.22594815553398728}",35,0,5.9656059786722535,"{0: 33, 1: 1, 2: 0, 3: 0, 4: 1}",0
150,False,"{'a': 0.18, 'e': 0.2236886739786474}",20,5,-1.0364151635045866,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
151,False,"{'a': 0.18, 'e': 0.22145178723886091}",20,13,13.520044335409448,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.18, 'e': 0.2192372693664723}",25,14,21.51088040075151,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.18, 'e': 0.21704489667280757}",20,0,19.256315806334616,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
154,False,"{'a': 0.18, 'e': 0.2148744477060795}",20,0,2.3919832012242113,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
155,False,"{'a': 0.18, 'e': 0.2127257032290187}",25,0,-5.337426929213674,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
156,False,"{'a': 0.18, 'e': 0.21059844619672852}",30,17,23.102739914455263,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.18, 'e': 0.20849246173476124}",20,0,-25.532414001403872,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
158,False,"{'a': 0.18, 'e': 0.2064075371174136}",25,2,9.759925549509713,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 0}",1
159,False,"{'a': 0.18, 'e': 0.20434346174623946}",20,0,0.4683123523019247,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
160,False,"{'a': 0.18, 'e': 0.2023000271287771}",20,4,5.046140432564499,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
161,False,"{'a': 0.18, 'e': 0.20027702685748933}",20,0,-23.448107770621156,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
162,False,"{'a': 0.18, 'e': 0.19827425658891443}",25,0,26.619743912304656,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
163,False,"{'a': 0.18, 'e': 0.19629151402302528}",30,0,-77.06873763024673,"{0: 25, 1: 2, 2: 0, 3: 1, 4: 2}",0
164,False,"{'a': 0.18, 'e': 0.19432859888279502}",20,2,-13.650993044508557,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
165,False,"{'a': 0.18, 'e': 0.19238531289396707}",25,0,-11.467789746717376,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
166,False,"{'a': 0.18, 'e': 0.1904614597650274}",20,12,14.359283902970155,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.18, 'e': 0.1885568451673771}",20,8,14.41491236008508,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.18, 'e': 0.18667127671570335}",25,15,10.82908434489314,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.18, 'e': 0.1848045639485463}",25,12,16.477725564090036,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.18, 'e': 0.18295651830906084}",25,0,-50.947389613707855,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
171,False,"{'a': 0.18, 'e': 0.18112695312597024}",20,12,3.6830189317838515,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.18, 'e': 0.17931568359471053}",25,2,13.056375913225345,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
173,False,"{'a': 0.18, 'e': 0.17752252675876343}",20,0,-43.33151891523075,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
174,False,"{'a': 0.18, 'e': 0.1757473014911758}",30,4,-10.574057610695732,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 1}",1
175,False,"{'a': 0.18, 'e': 0.17398982847626404}",30,0,17.843155830451828,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",1
176,False,"{'a': 0.18, 'e': 0.1722499301915014}",20,0,12.531922648712406,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
177,False,"{'a': 0.18, 'e': 0.17052743088958636}",25,12,5.0373366452793675,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.18, 'e': 0.1688221565806905}",25,17,-28.78338955407092,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
179,False,"{'a': 0.18, 'e': 0.1671339350148836}",35,18,28.762779153173703,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.18, 'e': 0.16546259566473476}",20,5,11.707770534782753,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.18, 'e': 0.16380796970808742}",20,0,30.858543232200265,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
182,False,"{'a': 0.18, 'e': 0.16216989001100654}",25,17,7.19471993109327,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.18, 'e': 0.16054819111089647}",25,0,36.523891258555324,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
